_id,"device_id",Unknown_morning,Unknown_afternoon,Unknown_evening,Communication_morning,Communication_afternoon,Communication_evening,Social_morning,Social_afternoon,Social_evening,Travel_morning,Travel_afternoon,Travel_evening,Productivity_morning,Productivity_afternoon,Productivity_evening,Weather_morning,Weather_afternoon,Weather_evening,Finance_morning,Finance_afternoon,Finance_evening,Entertainment_morning,Entertainment_afternoon,Entertainment_evening,Books_morning,Books_afternoon,Books_evening,Personalization_morning,Personalization_afternoon,Personalization_evening,Lifestyle_morning,Lifestyle_afternoon,Lifestyle_evening,Game_morning,Game_afternoon,Game_evening,Health_morning,Health_afternoon,Health_evening,Libraries_morning,Libraries_afternoon,Libraries_evening,Education_morning,Education_afternoon,Education_evening
1,"afbaec11-75c4-48df-b43c-3878b3359a04",0.127584,0.258132,0.614284,0.225397,0.302714,0.471889,0.175477,0.202277,0.622246,0.140982,0.392333,0.466685,0.278533,0.348119,0.373348,0.393735,0.290099,0.316166,0.337487,0.391514,0.271,0.337487,0.391514,0.271,0.337487,0.391514,0.271,0.337487,0.391514,0.271,0.337487,0.391514,0.271,0.337487,0.391514,0.271,0.337487,0.391514,0.271,0.337487,0.391514,0.271,0.337487,0.391514,0.271
2,"6d4c24e8-80ae-4d0a-a24a-71fce85098b9",0.186381,0.173046,0.640573,0.297795,0.244782,0.457423,0.320902,0.272973,0.406126,0.34511,0.251237,0.403652,0.454101,0.217326,0.328573,0.545084,0.181105,0.273811,0.467215,0.242274,0.290511,0.422236,0.247146,0.330618,0.422236,0.247146,0.330618,0.422236,0.247146,0.330618,0.422236,0.247146,0.330618,0.435197,0.205955,0.358848,0.40172,0.190112,0.408168,0.40172,0.190112,0.408168,0.40172,0.190112,0.408168
3,"86f968cc-27cc-4e06-85fb-f4296cdf3d20",0.278723,0.229387,0.49189,0.306609,0.282741,0.41065,0.315382,0.253605,0.431012,0.352654,0.280276,0.36707,0.464615,0.232817,0.302568,0.537942,0.204046,0.258011,0.502256,0.231884,0.26586,0.416115,0.265143,0.318742,0.378286,0.241039,0.380675,0.378286,0.241039,0.380675,0.378286,0.241039,0.380675,0.378286,0.241039,0.380675,0.346762,0.304286,0.348952,0.346762,0.304286,0.348952,0.346762,0.304286,0.348952
4,"5f85a44f-fd53-4544-ac89-47b9d0b9050c",0.395365,0.138838,0.465797,0.449903,0.252561,0.297536,0.439115,0.252295,0.30859,0.376734,0.246256,0.377011,0.437358,0.260289,0.302353,0.437358,0.260289,0.302353,0.437358,0.260289,0.302353,0.473153,0.32436,0.202487,0.42058,0.399431,0.179988,0.378522,0.359488,0.26199,0.378522,0.359488,0.26199,0.378522,0.359488,0.26199,0.378522,0.359488,0.26199,0.378522,0.359488,0.26199,0.378522,0.359488,0.26199
5,"c06905bb-e022-4353-86cb-1dbfe1d33967",0.485306,0.38784,0.126854,0.613884,0.278147,0.107969,0.480075,0.325256,0.194669,0.407426,0.446333,0.146241,0.464364,0.364067,0.171569,0.464364,0.364067,0.171569,0.38697,0.303389,0.309641,0.35988,0.237927,0.402193,0.35988,0.237927,0.402193,0.32989,0.2181,0.45201,0.336648,0.227058,0.436294,0.379208,0.215662,0.40513,0.353927,0.201285,0.444788,0.353927,0.201285,0.444788,0.353927,0.201285,0.444788
6,"2a44be79-a397-478e-8cbd-491defee4507",0.388297,0.223446,0.388257,0.309501,0.156627,0.533871,0.365118,0.126182,0.5087,0.365118,0.126182,0.5087,0.273838,0.094636,0.631525,0.273838,0.094636,0.631525,0.419071,0.075709,0.50522,0.571681,0.054078,0.374241,0.571681,0.054078,0.374241,0.571681,0.054078,0.374241,0.571681,0.054078,0.374241,0.571681,0.054078,0.374241,0.500221,0.17184,0.327939,0.500221,0.17184,0.327939,0.500221,0.17184,0.327939
7,"0f7c41ec-4159-4fba-865a-d2696dd2c6ef",0.089983,0.252866,0.657151,0.06746,0.433856,0.498684,0.068339,0.308796,0.622865,0.041372,0.541784,0.416844,0.050947,0.529648,0.419405,0.052208,0.479291,0.468501,0.041214,0.510673,0.448113,0.053392,0.438032,0.508576,0.051345,0.428548,0.520108,0.048452,0.447792,0.503755,0.045602,0.479735,0.474663,0.038762,0.457774,0.503464,0.036916,0.483595,0.479489,0.036916,0.483595,0.479489,0.036916,0.483595,0.479489
8,"08bfeec9-dfcf-4cca-ad46-7bfcbe26e5c2",0.045695,0.495554,0.458751,0.194213,0.471066,0.33472,0.129475,0.627432,0.243092,0.347106,0.470574,0.182319,0.468957,0.376459,0.154583,0.468957,0.376459,0.154583,0.390798,0.480383,0.12882,0.392401,0.413554,0.194045,0.392401,0.413554,0.194045,0.392401,0.413554,0.194045,0.392401,0.413554,0.194045,0.392401,0.413554,0.194045,0.392401,0.413554,0.194045,0.392401,0.413554,0.194045,0.392401,0.413554,0.194045
9,"7cda5924-c0bd-478d-904d-a390189d6432",0.646222,0,0.353778,0.515473,0,0.484527,0.422247,0,0.577753,0.469128,0,0.530872,0.441632,0,0.558368,0.441632,0,0.558368,0.441632,0,0.558368,0.365468,0,0.634532,0.365468,0,0.634532,0.359946,0,0.640054,0.359946,0,0.640054,0.359946,0,0.640054,0.359946,0,0.640054,0.359946,0,0.640054,0.359946,0,0.640054
10,"d632c816-bbf4-4d66-9413-4b4eca63c57e",0.509469,0,0.490531,0.321327,0.011033,0.667639,0.214218,0.007356,0.778426,0.341276,0.005517,0.653208,0.341276,0.005517,0.653208,0.28595,0.120237,0.593813,0.28595,0.120237,0.593813,0.28595,0.120237,0.593813,0.28595,0.120237,0.593813,0.238291,0.100198,0.661511,0.238291,0.100198,0.661511,0.238291,0.100198,0.661511,0.229302,0.085884,0.684815,0.229302,0.085884,0.684815,0.229302,0.085884,0.684815
